0,1,2,3,4
-0.1958257688858186,0.00012206742994668376,9.999796807752101e-08,-0.17129800842619242,-0.009977776461382095
-0.20995589499093253,0.0001617162642221625,9.999771779927172e-08,-0.1791698868547379,-0.009995779144334277
-0.22279399227875624,0.00018712717052010976,9.999751921860729e-08,-0.1856728428876197,-0.003821603776174325
-0.2343671255861933,0.00021160530231868809,9.999733368679639e-08,-0.19107292370718673,-0.007643136587548046
-0.24471306624248942,0.00022141225818179855,9.999724697251934e-08,-0.19542582695526026,-0.0029218909329021374
-0.25389098741998223,0.00022150458182674748,9.99971870462578e-08,-0.19891341812313307,-0.0011181336426826767
-0.2619731745984468,0.00021468827660284768,9.999714530978209e-08,-0.20167545613106969,-0.0004287902520311625
-0.26904404503742047,0.00020360677754097518,9.999710687404127e-08,-0.2038367445181073,-0.00016514248060094127
-0.32807882011499984,0.05358171538920848,9.999969063948523e-08,-0.22730299440522725,-0.007001682971226191
-0.3805578151713976,0.10190611455435908,1.0000181829497926e-07,-0.2467963071205259,-0.00959259556601316
-0.42740692384957624,0.14564931569702588,1.0000312638467682e-07,-0.26284289414120604,-0.004384878313284988
-0.46886033497261925,0.1852254490278125,1.0000515286625268e-07,-0.27583979865645064,-0.00855202148101674
-0.5052404127526127,0.22104770876593285,1.0000710528988809e-07,-0.2863146011135457,-0.010111045353409842
-0.5367604874455743,0.2534504373857124,1.0000981889564996e-07,-0.29460399195184883,-0.004487881792858002
-0.5635566922991238,0.2827367914485812,1.0001352738972925e-07,-0.3010068348482395,-0.002298740815510117
-0.5860063569696411,0.30920573128276857,1.0001531302099154e-07,-0.30587561354319254,-0.001419774570215842
-0.6045957614546356,0.33313341783157907,1.0001725789699906e-07,-0.30953885144441545,-0.0010412986486744405
-0.6198445925459615,0.3547687898332754,1.0001933071805123e-07,-0.31227032344126865,-0.0008551993305428821
-0.6322599177248076,0.374335038110234,1.0002093263144027e-07,-0.31428715323680717,-0.0007445406768183903
-0.6874991882839663,0.39209231880499634,1.0002267363328471e-07,-0.3243128954301443,-0.0006744537452086372
-0.7325829332188598,0.4081147870898486,1.0002464900886858e-07,-0.3319344866053785,0.005563012068613395
-0.7691848126240773,0.4225546875805233,1.0002623087731599e-07,-0.3375971537408895,0.00797282198601943
-0.7987184037916084,0.43556173650144775,1.0002767480551676e-07,-0.3416736036862107,0.01510010054806878
-0.8223383265366422,0.44728832957572207,1.0002857455630264e-07,-0.34452498573237084,0.01784782726448783
-0.8411172016146307,0.45788253032903187,1.0002908175848824e-07,-0.34647931289855266,0.018921697851104174
-0.8559898616645806,0.46749321667956645,1.0002863104558353e-07,-0.3478686261747689,0.013174571485713361
-0.8677895490813365,0.4762146430376966,1.00028004413063e-07,-0.34884790118026915,0.011000874353563141
-0.8771431259675252,0.4841041682134613,1.0002789076676079e-07,-0.3494452489534067,0.016370630194076558
-0.8845058317563144,0.49124883551139004,1.0002813884390219e-07,-0.349773459465545,0.018439701004740374
